id,"title","code",parent_id,gps_lat,gps_lng
1,"Středočeský kraj","CZ02",,,
2,"Benešov","CZ0201",1,,
3,"Benešov","529303",2,14.68996620,49.78379059
4,"Bernartice","532568",2,15.12914371,49.67556381
5,"Bílkovice","530743",2,14.86095142,49.75971985
6,"Blažejovice","532380",2,15.19993210,49.61979675
7,"Borovnice","532096",2,15.01833439,49.64873123
8,"Bukovany","532924",2,14.62428188,49.82279587
9,"Bystřice","529451",2,14.66740131,49.73213196
10,"Chářovice","532886",2,14.57786083,49.82025146
11,"Chleby","532878",2,14.55688000,49.82700348
12,"Chlístov","532045",2,14.65471745,49.80152130
13,"Chlum","529770",2,14.99575615,49.69300461
14,"Chmelná","529788",2,14.98835182,49.64810181
15,"Chocerady","529796",2,14.80206776,49.87290192
16,"Choratice","532606",2,14.87468529,49.83932877
17,"Chotýšany","529818",2,14.81457806,49.74410248
18,"Chrášťany","532037",2,14.58192635,49.79205322
19,"Ctiboř","532690",2,14.90419674,49.73666382
20,"Čakov","529478",2,14.83633041,49.82559586
21,"Čerčany","529516",2,14.70298672,49.85292816
22,"Červený Újezd","529532",2,14.60406113,49.55540466
23,"Čtyřkoly","529567",2,14.71963596,49.86851120
24,"Děkanovice","532746",2,15.14854145,49.61868668
25,"Dolní Kralovice","529648",2,15.17866421,49.64495087
26,"Drahňovice","532151",2,14.90164471,49.82247162
27,"Dunice","532843",2,15.15264225,49.60314560
28,"Heřmaničky","529702",2,14.58248711,49.60530853
29,"Hradiště","532932",2,14.84869957,49.68416977
30,"Hulice","529737",2,15.08758831,49.70960236
31,"Hvězdonice","529745",2,14.77727318,49.87281799
32,"Jankov","529842",2,14.73074245,49.65293884
33,"Javorník","529851",2,15.02653122,49.68649673
34,"Ješetice","532134",2,14.61012268,49.58116150
35,"Kamberk","531031",2,14.84031200,49.59713364
36,"Keblov","529907",2,15.07188797,49.67764664
37,"Kladruby","533084",2,14.95005035,49.72316742
38,"Kondrac","529931",2,14.88450527,49.66714478
39,"Kozmice","529940",2,14.79607677,49.82477951
40,"Krhanice","529958",2,14.55735683,49.85601044
41,"Krňany","529974",2,14.47744656,49.84481049
42,"Křečovice","529991",2,14.47553062,49.72131348
43,"Kuňovice","530026",2,14.99941635,49.65828323
44,"Lešany","530051",2,14.52494526,49.84416580
45,"Libež","530069",2,14.91676807,49.75741959
46,"Litichovice","532258",2,14.85057259,49.78293228
47,"Loket","530093",2,15.11689091,49.65549088
48,"Lštění","532193",2,14.71426487,49.86428452
49,"Městys Čechtice","529486",2,15.04808617,49.62355804
50,"Městys Český Šternberk","529541",2,14.92818546,49.81061554
51,"Městys Zdislavice","531022",2,14.97401524,49.68587875
52,"Mezno","530158",2,14.64493561,49.53451920
53,"Miličín","530166",2,14.66140461,49.57069016
54,"Miřetice","530174",2,14.97653008,49.65894699
55,"Mnichovice","530191",2,15.03958321,49.66860580
56,"Mrač","530204",2,14.69050980,49.82965088
57,"Načeradec","530212",2,14.90632915,49.61018372
58,"Nespeky","530263",2,14.65935802,49.85931015
59,"Neveklov","530310",2,14.53290462,49.75373077
60,"Olbramovice","530344",2,14.63943863,49.66722107
61,"Ostrov","599395",2,14.85109329,49.66529846
62,"Ostředek","530352",2,14.83229542,49.83478928
63,"Pavlovice","533076",2,14.93311214,49.71511459
64,"Petroupim","530409",2,14.75259209,49.80825424
65,"Popovice","532649",2,14.75245476,49.69538879
66,"Poříčí nad Sázavou","530441",2,14.67445755,49.83895493
67,"Postupice","530450",2,14.77721786,49.72798538
68,"Pravonín","530476",2,14.94337177,49.63558578
69,"Přestavlky u Čerčan","530492",2,14.74412441,49.85299683
70,"Psáře","530514",2,14.96182537,49.75568390
71,"Pyšely","538680",2,14.67713261,49.87678146
72,"Rabyně","530522",2,14.43609619,49.81418610
73,"Radošovice","530531",2,14.86755276,49.74099350
74,"Rataje","530549",2,14.97044563,49.70406342
75,"Ratměřice","532550",2,14.75617218,49.64325333
76,"Řehenice","538710",2,14.65022469,49.86974716
77,"Řimovice","532941",2,14.94300079,49.69634628
78,"Sázava","534382",2,14.89673710,49.87164307
79,"Slověnice","532231",2,14.88508892,49.75728607
80,"Smilkov","530611",2,14.61740303,49.60249329
81,"Snět","532436",2,15.22681713,49.62644577
82,"Soběhrdy","530638",2,14.73420715,49.82101822
83,"Soutice","599387",2,15.05291843,49.72610855
84,"Stranný","599379",2,14.49397659,49.75374985
85,"Strojetice","599361",2,15.06602192,49.65153503
86,"Struhařov","530689",2,14.76221085,49.76553345
87,"Střezimíř","530701",2,14.61133003,49.53200531
88,"Studený","530719",2,15.12771320,49.60741043
89,"Šetějovice","532509",2,15.22247887,49.64517593
90,"Tehov","530751",2,14.96673298,49.73543930
91,"Teplýšovice","530760",2,14.80158329,49.80610657
92,"Tichonice","530778",2,14.99227715,49.77706146
93,"Tisem","532592",2,14.60795593,49.75563431
94,"Tomice","532541",2,15.15709305,49.64504242
95,"Trhový Štěpánov","530816",2,15.01356316,49.71147537
96,"Třebešice","532304",2,14.83184338,49.77524567
97,"Týnec nad Sázavou","530841",2,14.58983421,49.83347702
98,"Václavice","532061",2,14.61354446,49.78930283
99,"Veliš","530867",2,14.82314014,49.66855621
100,"Vlašim","530883",2,14.89724827,49.70352173
